"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Document Type","Publication Stage","Open Access","Source","EID"
"Kavitha R.J.; Satheesh N.","Kavitha, R.J. (56990849900); Satheesh, N. (56465940100)","56990849900; 56465940100","Secured wireless sensor network framework to support guaranteed successful data transmission","2019","Applied Mathematics and Information Sciences","13","2","","209","214","5","1","10.18576/AMIS/130208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064906995&doi=10.18576%2fAMIS%2f130208&partnerID=40&md5=fb3444d68c93b604ca3267030aef662f","Department of ECE, University College of Engineering, Panruti, India; Department of CSE, Chalapathi Institute of Engineering and Technology, Gundur, India","Kavitha R.J., Department of ECE, University College of Engineering, Panruti, India; Satheesh N., Department of CSE, Chalapathi Institute of Engineering and Technology, Gundur, India","Article","Final","","Scopus","2-s2.0-85064906995"
"Abirami A.; Kavitha R.","Abirami, A. (57211921345); Kavitha, R. (56990849900)","57211921345; 56990849900","A New Benchmarking for Diabetic Retinopathy Using Machine Learning, Deep Learning and Image Processing Techniques","2022","Proceedings - IEEE International Conference on Advances in Computing, Communication and Applied Informatics, ACCAI 2022","","","","","","","3","10.1109/ACCAI53970.2022.9752482","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128814158&doi=10.1109%2fACCAI53970.2022.9752482&partnerID=40&md5=aa9b9f58616ce40178d7608b96636c1f","Easwari Engineering College, Department of CSE, Chennai, India; SRM Institute of Science and Technology, Department of IT, Chennai, India","Abirami A., Easwari Engineering College, Department of CSE, Chennai, India; Kavitha R., SRM Institute of Science and Technology, Department of IT, Chennai, India","Conference paper","Final","","Scopus","2-s2.0-85128814158"
"Pothumani S.; Kavitha R.","Pothumani, S. (55315128900); Kavitha, R. (56990849900)","55315128900; 56990849900","A novel approach for study of multi-processors","2019","Journal of Advanced Research in Dynamical and Control Systems","11","9 Special Issue","","971","977","6","0","10.5373/JARDCS/V11/20192658","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074086766&doi=10.5373%2fJARDCS%2fV11%2f20192658&partnerID=40&md5=304774005e6a5ecefc5626968922fd94","Department of Computer Science and Engineering, BIST, BIHER, Bharath Institute of Higher Education & Research, Selaiyur, Chennai, India","Pothumani S., Department of Computer Science and Engineering, BIST, BIHER, Bharath Institute of Higher Education & Research, Selaiyur, Chennai, India; Kavitha R., Department of Computer Science and Engineering, BIST, BIHER, Bharath Institute of Higher Education & Research, Selaiyur, Chennai, India","Article","Final","","Scopus","2-s2.0-85074086766"
"Kavitha G.; Kavitha R.; Allin Geo A.V.","Kavitha, G. (56830309100); Kavitha, R. (56990849900); Allin Geo, A.V. (56102342800)","56830309100; 56990849900; 56102342800","Network monitoring on cloud environment using SDN","2019","International Journal of Engineering and Advanced Technology","8","6 Special Issue 2","","171","173","2","1","10.35940/ijeat.F1044.0886S219","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073734880&doi=10.35940%2fijeat.F1044.0886S219&partnerID=40&md5=f350e2e63dabf748a8564c51192317dc","Department of Computer science and Engineering, Bharath Institute of Higher Education and Research, Chennai, Tamilnadu, India","Kavitha G., Department of Computer science and Engineering, Bharath Institute of Higher Education and Research, Chennai, Tamilnadu, India; Kavitha R., Department of Computer science and Engineering, Bharath Institute of Higher Education and Research, Chennai, Tamilnadu, India; Allin Geo A.V., Department of Computer science and Engineering, Bharath Institute of Higher Education and Research, Chennai, Tamilnadu, India","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85073734880"
"Velvizhi R.; Kavitha R.; Geetha C.; Sri Vidhya S.R.","Velvizhi, R. (57210977000); Kavitha, R. (56990849900); Geetha, C. (57210212229); Sri Vidhya, S.R. (57213197175)","57210977000; 56990849900; 57210212229; 57213197175","Graphene a fundamental of interaction globe","2019","International Journal of Innovative Technology and Exploring Engineering","8","9 Special Issue 3","","661","665","4","0","10.35940/ijitee.I3136.0789S319","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072113377&doi=10.35940%2fijitee.I3136.0789S319&partnerID=40&md5=18983a75a59936516b26b415750cc4df","Department of Computer Science & Engineering, Bharath Institute of Higher Education and Research, Chennai, Tamilnadu, India","Velvizhi R., Department of Computer Science & Engineering, Bharath Institute of Higher Education and Research, Chennai, Tamilnadu, India; Kavitha R., Department of Computer Science & Engineering, Bharath Institute of Higher Education and Research, Chennai, Tamilnadu, India; Geetha C., Department of Computer Science & Engineering, Bharath Institute of Higher Education and Research, Chennai, Tamilnadu, India; Sri Vidhya S.R., Department of Computer Science & Engineering, Bharath Institute of Higher Education and Research, Chennai, Tamilnadu, India","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85072113377"
"Kavitha R.; Srividhya S.R.","Kavitha, R. (56990849900); Srividhya, S.R. (57213197175)","56990849900; 57213197175","Authenticated toll collection and tracking of vehicles using RFID","2019","International Journal of Innovative Technology and Exploring Engineering","8","8","","3414","3416","2","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067937596&partnerID=40&md5=55aec1b7480d5bd76ee79764839b2fbe","Bharath Institute of Higher Education & Research /BIST/, Chennai, India","Kavitha R., Bharath Institute of Higher Education & Research /BIST/, Chennai, India; Srividhya S.R., Bharath Institute of Higher Education & Research /BIST/, Chennai, India","Article","Final","","Scopus","2-s2.0-85067937596"
"Kavitha R.; Kavitha G.; Chary T.K.; Srikanth S.","Kavitha, R. (56990849900); Kavitha, G. (56830309100); Chary, Tangellapally Kranthikumar (57210976263); Srikanth, Sitaroj (57210979639)","56990849900; 56830309100; 57210976263; 57210979639","Performances of different detection approaches to complimentary area optics","2019","International Journal of Innovative Technology and Exploring Engineering","8","9 Special Issue 3","","674","678","4","0","10.35940/ijitee.I3139.0789S319","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072113258&doi=10.35940%2fijitee.I3139.0789S319&partnerID=40&md5=9f144cf85016888fc8bd3bdd15c4cc0c","Department of Computer Science & Engineering, Bharath Institute of Higher Education and Research, Chennai, India","Kavitha R., Department of Computer Science & Engineering, Bharath Institute of Higher Education and Research, Chennai, India; Kavitha G., Department of Computer Science & Engineering, Bharath Institute of Higher Education and Research, Chennai, India; Chary T.K., Department of Computer Science & Engineering, Bharath Institute of Higher Education and Research, Chennai, India; Srikanth S., Department of Computer Science & Engineering, Bharath Institute of Higher Education and Research, Chennai, India","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85072113258"
"Kavitha G.; Kavitha R.","Kavitha, G. (56830309100); Kavitha, R. (56990849900)","56830309100; 56990849900","An analysis to improve throughput of high-power hubs in mobile ad hoc network","2016","Journal of Chemical and Pharmaceutical Sciences","9","2","","E361","E363","2","221","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046940170&partnerID=40&md5=0fc8a0475fd73b5b0e74342cbef95501","Department of CSE, Bharath University, Chennai, Tamil Nadu, India","Kavitha G., Department of CSE, Bharath University, Chennai, Tamil Nadu, India; Kavitha R., Department of CSE, Bharath University, Chennai, Tamil Nadu, India","Article","Final","","Scopus","2-s2.0-85046940170"
"Kavitha R.; Kavitha G.","Kavitha, R. (56990849900); Kavitha, G. (56830309100)","56990849900; 56830309100","Rationale of computer security using a-priori algorithm","2016","Journal of Chemical and Pharmaceutical Sciences","9","2","","E443","E445","2","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046936672&partnerID=40&md5=db0ceedb4d1a6982960e4f1b099e1d1a","Department of CSE, Bharath University, Chennai, Tamil Nadu, India","Kavitha R., Department of CSE, Bharath University, Chennai, Tamil Nadu, India; Kavitha G., Department of CSE, Bharath University, Chennai, Tamil Nadu, India","Article","Final","","Scopus","2-s2.0-85046936672"
"Kavitha R.J.; Saravanan K.K.","Kavitha, R.J. (56990849900); Saravanan, K.K. (58615014100)","56990849900; 58615014100","Digital brain: Model-based framework for dependable electroencephalogram sensing and actuation in internet of things system","2021","International Journal of Reconfigurable and Embedded Systems","10","3","","168","175","7","1","10.11591/IJRES.V10.I3.PP168-175","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122956528&doi=10.11591%2fIJRES.V10.I3.PP168-175&partnerID=40&md5=5267066319c6e2fd964f182d4e798846","Department of Electronics and Communication Engineering, Anna University, University College of Engineering, Panruti, India; Department of Electrical and Electronics Engineering, Anna University, University College of Engineering, Thirukkuvalai, India","Kavitha R.J., Department of Electronics and Communication Engineering, Anna University, University College of Engineering, Panruti, India; Saravanan K.K., Department of Electrical and Electronics Engineering, Anna University, University College of Engineering, Thirukkuvalai, India","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85122956528"
"Pothumani S.; Kavitha R.","Pothumani, S. (55315128900); Kavitha, R. (56990849900)","55315128900; 56990849900","A new awareness scheme for wireless sensor networks","2019","Journal of Advanced Research in Dynamical and Control Systems","11","9 Special Issue","","965","970","5","0","10.5373/JARDCS/V11/20192657","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074067424&doi=10.5373%2fJARDCS%2fV11%2f20192657&partnerID=40&md5=a8fa4a53053997812aba2254fb0318b1","Department of Computer Science and Engineering, BIST, BIHER, Bharath Institute of Higher Education & Research, Selaiyur, Chennai, India","Pothumani S., Department of Computer Science and Engineering, BIST, BIHER, Bharath Institute of Higher Education & Research, Selaiyur, Chennai, India; Kavitha R., Department of Computer Science and Engineering, BIST, BIHER, Bharath Institute of Higher Education & Research, Selaiyur, Chennai, India","Article","Final","","Scopus","2-s2.0-85074067424"
"Udayakumar R.; Kaliyamurthie K.P.; Kavitha R.","Udayakumar, R. (55774455600); Kaliyamurthie, K.P. (55772930800); Kavitha, R. (56990849900)","55774455600; 55772930800; 56990849900","A trusted management model for secure cloud storage","2018","Eurasian Journal of Analytical Chemistry","13","3","","1195","1200","5","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076867192&partnerID=40&md5=f1a58edd39775f0e1bbe68366e4a7da5","Department of IT, BIST, BIHER, Bharath Institute of Higher Education and Research, Selaiyur, Chennai, India; Department of Computer Science and Engineering, BIST, BIHER, Bharath Institute of Higher Education and Research, Selaiyur, Chennai, India","Udayakumar R., Department of IT, BIST, BIHER, Bharath Institute of Higher Education and Research, Selaiyur, Chennai, India; Kaliyamurthie K.P., Department of Computer Science and Engineering, BIST, BIHER, Bharath Institute of Higher Education and Research, Selaiyur, Chennai, India; Kavitha R., Department of Computer Science and Engineering, BIST, BIHER, Bharath Institute of Higher Education and Research, Selaiyur, Chennai, India","Article","Final","","Scopus","2-s2.0-85076867192"
"Kavitha R.J.; Avudaiyappan T.; Jayasankar T.; Selvi J.A.V.","Kavitha, R.J. (56990849900); Avudaiyappan, T. (56786390500); Jayasankar, T. (56826107100); Selvi, J. Arputha Vijaya (55890499700)","56990849900; 56786390500; 56826107100; 55890499700","Industrial Internet of Things (IIoT) with Cloud Teleophthalmology-Based Age-Related Macular Degeneration (AMD) Disease Prediction Model","2021","Internet of Things","","","","161","172","11","2","10.1007/978-3-030-52624-5_11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101153321&doi=10.1007%2f978-3-030-52624-5_11&partnerID=40&md5=54990706fd812746e4ebd98a80bb1c21","University College of Engineering, Panruti, Panruti, Tamil Nadu, India; K.Ramakrishnan College of Technology, Tiruchirappalli, Tamil Nadu, India; University College of Engineering, BIT Campus, Anna University, Tiruchirappalli, Tamil Nadu, India; Kings College of Engineering, Punalkulam, Tamil Nadu, India","Kavitha R.J., University College of Engineering, Panruti, Panruti, Tamil Nadu, India; Avudaiyappan T., K.Ramakrishnan College of Technology, Tiruchirappalli, Tamil Nadu, India; Jayasankar T., University College of Engineering, BIT Campus, Anna University, Tiruchirappalli, Tamil Nadu, India; Selvi J.A.V., Kings College of Engineering, Punalkulam, Tamil Nadu, India","Book chapter","Final","","Scopus","2-s2.0-85101153321"
"Udayakumar R.; Kaliyamurthie K.P.; Kavitha R.","Udayakumar, R. (55774455600); Kaliyamurthie, K.P. (55772930800); Kavitha, R. (56990849900)","55774455600; 55772930800; 56990849900","The location-identity split no longer considered harmful","2018","Eurasian Journal of Analytical Chemistry","13","3","","996","1002","6","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076867356&partnerID=40&md5=bccc8258f44ad83d6c4ba632fec1587d","Department of IT, BIST, BIHER, Bharath Institute of Higher Education and Research, Selaiyur, Chennai, India; Department of Computer Science and Engineering, BIST, BIHER, Bharath Institute of Higher Education and Research, Selaiyur, Chennai, India","Udayakumar R., Department of IT, BIST, BIHER, Bharath Institute of Higher Education and Research, Selaiyur, Chennai, India; Kaliyamurthie K.P., Department of Computer Science and Engineering, BIST, BIHER, Bharath Institute of Higher Education and Research, Selaiyur, Chennai, India; Kavitha R., Department of Computer Science and Engineering, BIST, BIHER, Bharath Institute of Higher Education and Research, Selaiyur, Chennai, India","Article","Final","","Scopus","2-s2.0-85076867356"
"Abirami A.; Kavitha R.","Abirami, A. (57211921345); Kavitha, R. (56990849900)","57211921345; 56990849900","A novel automated komodo Mlipir optimization-based attention BiLSTM for early detection of diabetic retinopathy","2023","Signal, Image and Video Processing","17","5","","1945","1953","8","6","10.1007/s11760-022-02407-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146389772&doi=10.1007%2fs11760-022-02407-9&partnerID=40&md5=132579b62207e68fe86f33c6bdac0189","Research Scholar, Department of Computer Science and Engineering, SRM Institute of Science and Technology, SRM University-Kattankulathur, Kattankulathur, India; Department of Information Technology, SRM Institute of Science and Technology, SRM University-Ramapuram, Chennai, India","Abirami A., Research Scholar, Department of Computer Science and Engineering, SRM Institute of Science and Technology, SRM University-Kattankulathur, Kattankulathur, India; Kavitha R., Department of Information Technology, SRM Institute of Science and Technology, SRM University-Ramapuram, Chennai, India","Article","Final","","Scopus","2-s2.0-85146389772"
"Kunjachen L.M.; Kavitha R.","Kunjachen, Liza M (57221600484); Kavitha, R. (56990849900)","57221600484; 56990849900","Predictive and Prescriptive Analytics on Clinical Data using Improved K-NNtechnique","2022","Proceedings of the 2022 International Conference on Innovative Computing, Intelligent Communication and Smart Electrical Systems, ICSES 2022","","","","","","","0","10.1109/ICSES55317.2022.9914263","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141492296&doi=10.1109%2fICSES55317.2022.9914263&partnerID=40&md5=f2851f8d2b7d9ca5d64883a5c2ed4c99","SRM Institute of Science & Technology, Department of Information Technology, Chennai, India","Kunjachen L.M., SRM Institute of Science & Technology, Department of Information Technology, Chennai, India; Kavitha R., SRM Institute of Science & Technology, Department of Information Technology, Chennai, India","Conference paper","Final","","Scopus","2-s2.0-85141492296"
"Kalyanaraman B.; Kavitha R.","Kalyanaraman, B. (57957626000); Kavitha, R. (56990849900)","57957626000; 56990849900","Privacy Preserving Security Integrating Method with Varying Key Encryption Model in Cloud","2022","Proceedings of the 2022 International Conference on Innovative Computing, Intelligent Communication and Smart Electrical Systems, ICSES 2022","","","","","","","0","10.1109/ICSES55317.2022.9914177","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141453320&doi=10.1109%2fICSES55317.2022.9914177&partnerID=40&md5=3061956d3e9ba7a700ebdd0246662ca0","SRM Institute of Science and Technology, Department of Information Technology, Ramapuram, Chennai, India","Kalyanaraman B., SRM Institute of Science and Technology, Department of Information Technology, Ramapuram, Chennai, India; Kavitha R., SRM Institute of Science and Technology, Department of Information Technology, Ramapuram, Chennai, India","Conference paper","Final","","Scopus","2-s2.0-85141453320"
"Kavitha R.; Pothumani S.; Mary Linda I.","Kavitha, R. (56990849900); Pothumani, S. (55315128900); Mary Linda, I. (57210213200)","56990849900; 55315128900; 57210213200","Towards the construction of web services the perception of transformative programming","2019","International Journal of Engineering and Advanced Technology","8","6 Special Issue 2","","746","749","3","0","10.35940/ijeat.F1272.0886S219","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073758194&doi=10.35940%2fijeat.F1272.0886S219&partnerID=40&md5=6cfd1589734ef763474952c8e0ea5e4d","Department of Computer science and Engineering, Bharath Institute of Higher Education and Research, Chennai, Tamilnadu, India","Kavitha R., Department of Computer science and Engineering, Bharath Institute of Higher Education and Research, Chennai, Tamilnadu, India; Pothumani S., Department of Computer science and Engineering, Bharath Institute of Higher Education and Research, Chennai, Tamilnadu, India; Mary Linda I., Department of Computer science and Engineering, Bharath Institute of Higher Education and Research, Chennai, Tamilnadu, India","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85073758194"
"Kavitha R.; Mary Linda I.; Nandhini P.","Kavitha, R. (56990849900); Mary Linda, I. (57210213200); Nandhini, P. (57681830800)","56990849900; 57210213200; 57681830800","A novel work on markov models","2019","International Journal of Recent Technology and Engineering","8","2 Special Issue 8","","810","813","3","0","10.35940/ijrte.B1493.0882S819","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073447347&doi=10.35940%2fijrte.B1493.0882S819&partnerID=40&md5=d50f25989a029c6e30c28fb12f78377c","Dapartment of Computer Science and Engineering, Bharath Insitute of Higher Education and Research, Chennai, India","Kavitha R., Dapartment of Computer Science and Engineering, Bharath Insitute of Higher Education and Research, Chennai, India; Mary Linda I., Dapartment of Computer Science and Engineering, Bharath Insitute of Higher Education and Research, Chennai, India; Nandhini P., Dapartment of Computer Science and Engineering, Bharath Insitute of Higher Education and Research, Chennai, India","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85073447347"
